unit,unit_title,round,round_title,en,cn,page
4,Christmas,1,节日介绍与装饰,We give our family and friends gifts.,我们给家人朋友送礼物。,56
4,Christmas,1,节日介绍与装饰,We sing Christmas songs.,我们唱圣诞歌。,56
4,Christmas,1,节日介绍与装饰,We have fun together!,我们一起玩得很开心！,56
4,Christmas,1,节日介绍与装饰,When is Christmas?,圣诞节是什么时候？,56
4,Christmas,1,节日介绍与装饰,It's December 25!,是12月25日！,56
4,Christmas,2,装饰圣诞树,Yesterday my dad bought a Christmas tree!,昨天爸爸买了一棵圣诞树！,58
4,Christmas,2,装饰圣诞树,Let's put it up.,我们把它装饰起来吧。,58
4,Christmas,2,装饰圣诞树,It's fun.,很有趣。,58
4,Christmas,2,装饰圣诞树,First, I'm going to put the lights on the tree.,首先，我要把灯挂在树上。,58
4,Christmas,2,装饰圣诞树,Then I'm going to put Christmas things on the tree.,然后我要把圣诞饰品放到树上。,58
4,Christmas,2,装饰圣诞树,The star always goes on top!,星星总是放在顶端！,58
4,Christmas,2,装饰圣诞树,There! It's done!,好了！完成了！,58
4,Christmas,2,装饰圣诞树,Now we put our gifts under the tree.,现在我们把礼物放在树下。,58
4,Christmas,2,装饰圣诞树,It's beautiful.,它真漂亮。,58
4,Christmas,2,装饰圣诞树,Yesterday I bought a Christmas tree.,昨天我买了一棵圣诞树。,58
4,Christmas,2,装饰圣诞树,Tomorrow I'm going to put it up.,明天我要装饰它。,58
4,Christmas,2,装饰圣诞树,Danny walked to school.,丹尼步行上学。,58
4,Christmas,2,装饰圣诞树,Mrs. Smith bought a scarf.,史密斯太太买了一条围巾。,58
4,Christmas,2,装饰圣诞树,I brought a Christmas tree to my family.,我给家人带来了一棵圣诞树。,58
4,Christmas,2,装饰圣诞树,Danny is going to walk to the bus stop.,丹尼将步行去公交站。,58
4,Christmas,2,装饰圣诞树,I am going to bring a star for the tree.,我要给树带一颗星星。,58
4,Christmas,3,写圣诞卡片,We are going to write Christmas cards to our friends and family.,我们要给朋友家人写圣诞贺卡。,60
4,Christmas,3,写圣诞卡片,These are Christmas cards.,这些是圣诞贺卡。,60
4,Christmas,3,写圣诞卡片,Are you going to send a card, Li Ming?,李明，你要寄贺卡吗？,60
4,Christmas,3,写圣诞卡片,She likes Santa!,她喜欢圣诞老人！,60
4,Christmas,3,写圣诞卡片,Let's find a card with Santa on it.,我们找一张有圣诞老人的卡片吧。,60
4,Christmas,3,写圣诞卡片,Here's Santa!,这是圣诞老人！,60
4,Christmas,3,写圣诞卡片,Now I can write my card.,现在我可以写我的卡片了。,60
4,Christmas,3,写圣诞卡片,Dear Jing,亲爱的京，,60
4,Christmas,3,写圣诞卡片,Jenny's family is getting ready for the Christmas holiday.,詹妮一家正在为圣诞节做准备。,60
4,Christmas,3,写圣诞卡片,Yesterday I helped Jenny put up the Christmas tree.,昨天我帮詹妮装饰圣诞树。,60
4,Christmas,3,写圣诞卡片,Tomorrow we are going to buy Christmas gifts.,明天我们要去买圣诞礼物。,60
4,Christmas,3,写圣诞卡片,Merry Christmas and Happy New Year!,圣诞快乐，新年快乐！,60
4,Christmas,3,写圣诞卡片,Write soon, Li Ming.,尽快回信，李明。,60
4,Christmas,3,写圣诞卡片,We wish you a Merry Christmas.,我们祝你圣诞快乐。,60
4,Christmas,3,写圣诞卡片,And a Happy New Year.,和新年快乐。,60
4,Christmas,4,购买圣诞礼物,Danny and Li Ming are shopping for Christmas gifts.,丹尼和李明正在买圣诞礼物。,62
4,Christmas,4,购买圣诞礼物,At Christmas, shops often have Santas.,圣诞节期间，商店里经常有圣诞老人。,62
4,Christmas,4,购买圣诞礼物,Santas are fun!,圣诞老人很有趣！,62
4,Christmas,4,购买圣诞礼物,I want to buy some gifts for my family.,我想给家人买些礼物。,62
4,Christmas,4,购买圣诞 gifts,Are you going to give Jenny's family a gift?,你要给詹妮家送礼物吗？,62
4,Christmas,4,购买圣诞礼物,Yes! I am going to give them a special gift from China.,是的！我要送他们一份来自中国的特别礼物。,62
4,Christmas,4,购买圣诞礼物,Look! There's Santa!,看！圣诞老人在那儿！,62
4,Christmas,4,购买圣诞礼物,Hello, Santa! Merry Christmas!,你好，圣诞老人！圣诞快乐！,62
4,Christmas,4,购买圣诞礼物,Ho! Ho! Ho!,嗬！嗬！嗬！,62
4,Christmas,4,购买圣诞礼物,What would you like for Christmas, young man?,年轻人，圣诞节你想要什么？,62
4,Christmas,4,购买圣诞礼物,A new car! Ho! Ho! Ho!,一辆新车！嗬！嗬！嗬！,62
4,Christmas,4,购买圣诞礼物,Would you like a new sweater?,你想要一件新毛衣吗？,62
4,Christmas,4,购买圣诞礼物,Some toys? Oh! Ho! Ho! Ho!,一些玩具？哦！嗬！嗬！嗬！,62
4,Christmas,4,购买圣诞礼物,That's great!,太棒了！,62
4,Christmas,5,圣诞早晨与礼物,It's Christmas morning!,今天是圣诞早晨！,64
4,Christmas,5,圣诞早晨与礼物,This morning we open our gifts!,今天早上我们打开礼物！,64
4,Christmas,5,圣诞早晨与礼物,Who brought these gifts, Jenny?,詹妮，这些礼物是谁带来的？,64
4,Christmas,5,圣诞早晨与礼物,Did Santa bring them?,是圣诞老人带来的吗？,64
4,Christmas,5,圣诞早晨与礼物,I don't think so.,我不这么认为。,64
4,Christmas,5,圣诞早晨与礼物,I think Mum and Dad brought them.,我觉得是爸爸妈妈带来的。,64
4,Christmas,5,圣诞早晨与礼物,Lynn thinks Santa brought them!,琳恩认为是圣诞老人带来的！,64
4,Christmas,5,圣诞早晨与礼物,Look! Santa brought me toys!,看！圣诞老人给我带了玩具！,64
4,Christmas,5,圣诞早晨与礼物,Look, Li Ming! You have a gift, too.,看，李明！你也有礼物。,64
4,Christmas,5,圣诞早晨与礼物,It's from Santa!,是圣诞老人送的！,64
4,Christmas,5,圣诞早晨与礼物,Open it, Li Ming!,李明，打开它！,64
4,Christmas,5,圣诞早晨与礼物,Oh! It's a camera!,哦！是一台相机！,64
4,Christmas,5,圣诞早晨与礼物,I wanted a camera!,我想要一台相机！,64
4,Christmas,5,圣诞早晨与礼物,Now I can take pictures and send them to my mother and father!,现在我可以拍照寄给爸爸妈妈了！,64
4,Christmas,6,故事 Maddy's Christmas,Tomorrow is Christmas.,明天是圣诞节。,66
4,Christmas,6,故事 Maddy's Christmas,Christmas is my favourite holiday!,圣诞节是我最喜欢的节日！,66
4,Christmas,6,故事 Maddy's Christmas,We are going to invite my aunt, uncle and cousins for dinner.,我们要邀请姑姑、叔叔和堂兄妹来吃晚饭。,66
4,Christmas,6,故事 Maddy's Christmas,We are going to open our gifts.,我们要打开礼物。,66
4,Christmas,6,故事 Maddy's Christmas,We are going to sing Christmas songs.,我们要唱圣诞歌。,66
4,Christmas,6,故事 Maddy's Christmas,I want to give my family something special.,我想送家人特别的礼物。,66
4,Christmas,6,故事 Maddy's Christmas,All the gifts are too small!,所有礼物都太小了！,66
4,Christmas,6,故事 Maddy's Christmas,Anna bought her mother a sweater for Christmas.,安娜给妈妈买了一件圣诞毛衣。,66
4,Christmas,6,故事 Maddy's Christmas,She bought her father a box of tea.,她给爸爸买了一盒茶。,66
4,Christmas,6,故事 Maddy's Christmas,I found a nice teddy bear.,我发现了一只可爱的泰迪熊。,66
4,Christmas,6,故事 Maddy's Christmas,But it was too small.,但它太小了。,66
4,Christmas,6,故事 Maddy's Christmas,I think Santa was afraid of me.,我觉得圣诞老人害怕我。,66
4,Christmas,6,故事 Maddy's Christmas,We put a star on the tree.,我们在树上放了一颗星星。,66
4,Christmas,6,故事 Maddy's Christmas,My gift is that I love you.,我的礼物就是我爱你。,66
4,Christmas,6,故事 Maddy's Christmas,It's the biggest gift of all.,这是最大的礼物。,66
